"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User is logged-in. Product is added to cart. Checkout Shipping form isn't applied. Error is displayed","504","unsuccessShippingFormApplying","All Test Suite","Thu Feb 20 13:10:47 UTC 2025","passed","Thu Feb 20 13:10:47 UTC 2025","tests.CheckoutTests","All Tests","tests.CheckoutTests","unsuccessShippingFormApplying"
"User isn't logged-in. Error message is displayed","1567","unsuccessLogin","All Test Suite","Thu Feb 20 13:11:12 UTC 2025","passed","Thu Feb 20 13:11:14 UTC 2025","tests.LoginTests","All Tests","tests.LoginTests","unsuccessLogin"
"User is logged-in successfully. All product elements are displayed on the Collections page","185","elementsDisplayingTest","All Test Suite","Thu Feb 20 13:11:00 UTC 2025","passed","Thu Feb 20 13:11:00 UTC 2025","tests.CollectionsTests","All Tests","tests.CollectionsTests","elementsDisplayingTest"
"User is logged-in successfully. Product is added and then removed from the cart successfully","268","removeProductTest","All Test Suite","Thu Feb 20 13:11:26 UTC 2025","passed","Thu Feb 20 13:11:26 UTC 2025","tests.ProductsTests","All Tests","tests.ProductsTests","removeProductTest"
"User is logged-in successfully. Product is added to cart successfully","272","addingToCartTest","All Test Suite","Thu Feb 20 13:11:07 UTC 2025","passed","Thu Feb 20 13:11:07 UTC 2025","tests.CollectionsTests","All Tests","tests.CollectionsTests","addingToCartTest"
"User is logged-in successfully. User is redirected to the Collections page","1554","successLogin","All Test Suite","Thu Feb 20 13:11:11 UTC 2025","passed","Thu Feb 20 13:11:12 UTC 2025","tests.LoginTests","All Tests","tests.LoginTests","successLogin"
"User is logged-in successfully. Each sort option is selected. Items are displayed correct","253","sortingTest","All Test Suite","Thu Feb 20 13:11:02 UTC 2025","passed","Thu Feb 20 13:11:03 UTC 2025","tests.CollectionsTests","All Tests","tests.CollectionsTests","sortingTest"
"User isn't logged-in. Error message is displayed","1658","unsuccessLogin","All Test Suite","Thu Feb 20 13:11:16 UTC 2025","passed","Thu Feb 20 13:11:17 UTC 2025","tests.LoginTests","All Tests","tests.LoginTests","unsuccessLogin"
"User isn't logged-in. Error message is displayed","1523","unsuccessLogin","All Test Suite","Thu Feb 20 13:11:19 UTC 2025","passed","Thu Feb 20 13:11:21 UTC 2025","tests.LoginTests","All Tests","tests.LoginTests","unsuccessLogin"
"User is logged-in. Product is added to cart. Order is placed successfully","868","successOrderPlacing","All Test Suite","Thu Feb 20 13:10:54 UTC 2025","passed","Thu Feb 20 13:10:55 UTC 2025","tests.CheckoutTests","All Tests","tests.CheckoutTests","successOrderPlacing"
"User is logged-in successfully. Product is added to cart successfully","282","addToCartTest","All Test Suite","Thu Feb 20 13:11:24 UTC 2025","passed","Thu Feb 20 13:11:24 UTC 2025","tests.ProductsTests","All Tests","tests.ProductsTests","addToCartTest"
"User is logged-in. Product is added to cart from PDP and PLP. Order with 2 items is placed successfully","1031","successOrderPlacingFromPDPPLP","All Test Suite","Thu Feb 20 13:10:57 UTC 2025","passed","Thu Feb 20 13:10:58 UTC 2025","tests.CheckoutTests","All Tests","tests.CheckoutTests","successOrderPlacingFromPDPPLP"
"User is logged-in successfully. Product is added to cart and then removed successfully","270","removingAddedItemTest","All Test Suite","Thu Feb 20 13:11:10 UTC 2025","passed","Thu Feb 20 13:11:10 UTC 2025","tests.CollectionsTests","All Tests","tests.CollectionsTests","removingAddedItemTest"
"User is logged-in successfully. Product card is selected. User is redirected to the relevant page. User is returned to Collections page. Checks are repeated","514","proceedProductPages","All Test Suite","Thu Feb 20 13:11:04 UTC 2025","passed","Thu Feb 20 13:11:05 UTC 2025","tests.CollectionsTests","All Tests","tests.CollectionsTests","proceedProductPages"
"User is logged-in. Product is added to cart. Checkout Shipping form isn't applied. Error is displayed","495","unsuccessShippingFormApplying","All Test Suite","Thu Feb 20 13:10:49 UTC 2025","passed","Thu Feb 20 13:10:50 UTC 2025","tests.CheckoutTests","All Tests","tests.CheckoutTests","unsuccessShippingFormApplying"
"User is logged-in successfully. Product is added to cart. All needed elements are displayed on the SHopping cart page","155","itemElementsDisplaying","All Test Suite","Thu Feb 20 13:11:28 UTC 2025","passed","Thu Feb 20 13:11:29 UTC 2025","tests.ShoppingCartTests","All Tests","tests.ShoppingCartTests","itemElementsDisplaying"
"User is logged-in. Product is added to cart. Checkout Shipping form is applied successfully","670","successShippingFormApplying","All Test Suite","Thu Feb 20 13:10:52 UTC 2025","passed","Thu Feb 20 13:10:52 UTC 2025","tests.CheckoutTests","All Tests","tests.CheckoutTests","successShippingFormApplying"
"User isn't logged-in. Error message is displayed","1609","unsuccessLogin","All Test Suite","Thu Feb 20 13:11:14 UTC 2025","passed","Thu Feb 20 13:11:15 UTC 2025","tests.LoginTests","All Tests","tests.LoginTests","unsuccessLogin"
"User isn't logged-in. Error message is displayed","1585","unsuccessLogin","All Test Suite","Thu Feb 20 13:11:17 UTC 2025","passed","Thu Feb 20 13:11:19 UTC 2025","tests.LoginTests","All Tests","tests.LoginTests","unsuccessLogin"
"User is logged-in. Product is added to cart. Checkout Shipping form isn't applied. Error is displayed","644","unsuccessShippingFormApplying","All Test Suite","Thu Feb 20 13:10:44 UTC 2025","passed","Thu Feb 20 13:10:45 UTC 2025","tests.CheckoutTests","All Tests","tests.CheckoutTests","unsuccessShippingFormApplying"
"User is logged-in successfully. All product elements are displayed on the Product page","58","elementsDisplayingTest","All Test Suite","Thu Feb 20 13:11:22 UTC 2025","passed","Thu Feb 20 13:11:22 UTC 2025","tests.ProductsTests","All Tests","tests.ProductsTests","elementsDisplayingTest"
"User is logged-in successfully. Product is added to cart. Product is removed from the Shopping Cart successfully","213","successItemRemoving","All Test Suite","Thu Feb 20 13:11:30 UTC 2025","passed","Thu Feb 20 13:11:31 UTC 2025","tests.ShoppingCartTests","All Tests","tests.ShoppingCartTests","successItemRemoving"
